No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier
1,1,SZYY0603B,3.3V,LED0603-R-RD_BLUE,,SZYY0603B,yongyu(永裕光电),C434421,LCSC
2,9,10uF,"C351,C352,C355,C357,C369,C370,C373,C376,C387",C0603,10uF,CL10A106MA8NRNC,SAMSUNG(三星),C96446,LCSC
3,10,100nF,"C353,C354,C356,C358,C371,C372,C374,C375,C388,C389",C0603,100nF,CGA0603X7R104K500JT,HRE(芯声),C6119867,LCSC
4,1,10uF,C382,C1206,10uF,HGC1206R5106K500NSPJ,Chinocera(华瓷),C7432781,LCSC
5,1,22uF,C383,C1206,22uF,CGA1206X5R226M350NT,HRE(芯声),C6119969,LCSC
6,1,100nF,C384,C1206,100nF,CL31B104KBCNNNC,SAMSUNG(三星),C24497,LCSC
7,1,47uF,C385,C1206,47uF,HGC1206R5476M250NSPJ,Chinocera(华瓷),C22367835,LCSC
8,1,22uF,C386,C0805,22uF,CGA0805X5R226M350MT,HRE(芯声),C6119901,LCSC
9,1,4.7uF,C390,C0603,4.7uF,CGA0603X5R475K250JT,HRE(芯声),C6119856,LCSC
10,1,New_Library_2601-1106,CN1,CONN-TH_2601-1106,,2601-1106,,C9900153774,LCSC
11,1,SS54SMB,D5,SMB_L4.6-W3.6-LS5.3-RD,,SS54SMB,BORN(伯恩半导体),C511854,LCSC
12,1,SMBJ28A,D6,SMB_L4.6-W3.6-LS5.3-L-FD,,SMBJ28A,JJW(捷捷微),C356769,LCSC
13,1,DSK34,D7,SOD-123FL_L2.7-W1.8-LS3.8-RD,,DSK34,宏迦橙,C7502709,LCSC
14,2,MBRS540T3G,"D8,D9",SMC_L7.1-W6.2-LS8.1-RD,,MBRS540T3G,onsemi(安森美),C31849,LCSC
15,4,Mechanical_MountingHole_Pad,"H1,H2,H3,H4",MountingHole:MountingHole_3.2mm_M3_Pad_Via,Hole_Pad,,,,
16,1,PZ254V-11-08P,H9,HDR-TH_8P-P2.54-V-M,,PZ254V-11-08P,XFCN(兴飞),C492407,LCSC
17,3,PZ254V-11-03P,"H18,H21,H23",HDR-TH_3P-P2.54-V-M,,PZ254V-11-03P,XFCN(兴飞),C2937625,LCSC
18,1,PZ254V-11-02P,H19,HDR-TH_2P-P2.54-V-M,,PZ254V-11-02P,XFCN(兴飞),C492401,LCSC
19,2,PZ254V-11-04P,"H22,H33",HDR-TH_4P-P2.54-V-M,,PZ254V-11-04P,XFCN(兴飞),C2691448,LCSC
20,1,10uH,L12,IND-SMD_L5.4-W5.2_FXL0530,10uH,FXL0530-100-M,cjiang(长江微电),C177248,LCSC
21,1,3.3V,LED红,LED0603-R-RD,,3.3V,yongyu(永裕光电),C434419,LCSC
22,1,XL-1608PGC-06,LED绿,LED0603-RD_GREEN,,XL-1608PGC-06,XINGLIGHT(成兴光),C7371905,LCSC
23,1,B3B-PH-K-S(LF)(SN),NPXL,CONN-TH_B3B-PH-K-S,,B3B-PH-K-S(LF)(SN),JST,C131339,LCSC
24,1,"BSS138BKS,115",Q2,SOT-363_L2.0-W1.3-P0.65-LS2.1-BR,,"BSS138BKS,115",Nexperia(安世),C456075,LCSC
25,5,10kΩ,"R11,R23,R24,R32,R34",R0603,10kΩ,0603WAF1002T5E,UNI-ROYAL(厚声),C25804,LCSC
26,1,0Ω,R15,R0603,0Ω,0603WAF0000T5E,UNI-ROYAL(厚声),C21189,LCSC
27,1,120Ω,R30,R0603,120Ω,0603WAF1200T5E,UNI-ROYAL(厚声),C22787,LCSC
28,1,82kΩ,R31,R0603,82kΩ,FRC0603F8202TS,FOJAN(富捷),C2907072,LCSC
29,1,31.3kΩ,R35,R0603,31.3kΩ,0603WAF3132T5E,UNI-ROYAL(厚声),C2767176,LCSC
30,1,470kΩ,R36,R0603,470kΩ,FRC0603F4703TS,FOJAN(富捷),C2907040,LCSC
31,1,500,R40,R0603,500,,,,
32,4,10kΩ,"R41,R42,R43,R44",R0603,10kΩ,CRG0603J10K,TE Connectivity(泰科电子),C2073745,LCSC
33,3,ME6211C30M5G-N,"U31,U40,U42",SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL,,ME6211C30M5G-N,MICRONE(南京微盟),C403651,LCSC
34,1,TJA1051T/3/1J,U34,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,,TJA1051T/3/1J,NXP(恩智浦),C38695,LCSC
35,1,TPS5450MDDAREP,U43,POWERPAD-SO-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,,TPS5450MDDAREP,TI(德州仪器),C2071671,LCSC
36,1,SK6812MINI-C,U47,LED-SMD_4P-L3.5-W3.5-R-SK6812MINI,,SK6812MINI-C,欧思科光电,C7423117,LCSC
37,1,"74HCT2G34GW,125",U58,SC-88-6_L2.0-W1.3-P0.65-LS2.1-BL,,"74HCT2G34GW,125",Nexperia(安世),C458804,LCSC
38,1,Feather MCU,U62,COMM-TH_L50.8-W22.9-P2.54-LS20.32,,Feather MCU,,C9900163338,LCSC
39,1,B4B-PH-K(LF)(SN),U63,CONN-TH_B4B-PH-K-LF-SN,,B4B-PH-K(LF)(SN),JST,C265289,LCSC
40,8,1719710003,"U64,U65,U66,U67,U68,U69,U70,U71",CONN-TH_3P-P2.54_171971-0003,,1719710003,MOLEX,C586606,LCSC
